PM2_5,PM10,SO2,NO2,CO,O3,lat,lng,U,V
20.21,23.56,8.65,4.58,0.29,63.44,18.34,109.25,-7.13,0.36
20.41,23.96,9.28,5.24,0.29,62.53,18.34,109.38,-6.59,-0.87
21.17,24.78,10.07,5.47,0.3,62.24,18.33,109.52,-6.13,-2.05
22.24,26.04,10.36,5.28,0.3,63.58,18.33,109.66,-6.19,-2.06
19.68,22.34,7.62,3.58,0.29,66.21,18.49,108.83,-5.39,1.84
19.78,22.2,7.85,3.66,0.28,67.54,18.49,108.97,-4.88,0.94
21.38,24.03,8.23,4.2,0.29,65.42,18.48,109.11,-5.64,1.28
22.77,25.9,8.65,5.01,0.29,62.75,18.48,109.25,-7.04,1.13
23.01,26.19,9.09,5.48,0.29,62.19,18.47,109.39,-7.4,-0.58
24.67,27.86,9.74,5.99,0.3,60.94,18.46,109.53,-5.96,-1.77
24.53,27.72,10.22,6.09,0.3,61.63,18.46,109.67,-4.45,-1.62
23.86,27,10.65,6,0.3,63.28,18.45,109.81,-4.84,-1.44
25.36,29.19,10.94,6.77,0.31,61.07,18.45,109.95,-6.17,-1.56
21.6,24.49,7.93,3.85,0.29,64.6,18.62,108.84,-4.98,0.85
22.56,25.28,7.83,3.96,0.28,64.31,18.62,108.98,-3.51,-0.1
22.2,24.82,8.14,4.1,0.28,64.61,18.61,109.12,-3.57,0.42
24.36,27.37,8.53,4.58,0.29,61.69,18.61,109.26,-6.1,1.19
25.99,29.03,9.1,5.04,0.29,62.45,18.6,109.4,-7.3,0.98
27.35,30.54,9.29,5.69,0.3,60.92,18.6,109.54,-5.75,0.28
26.06,29.36,9.97,6.09,0.3,61.57,18.59,109.67,-4.51,-0.65
26.96,30.69,10.67,6.53,0.3,61.2,18.59,109.81,-4.5,-1.34
28.18,31.88,11.42,7.38,0.31,60.02,18.58,109.95,-4.98,-1.42
29.11,33.98,11.58,8.15,0.32,57.05,18.57,110.09,-5.88,-1.34
22.04,25.27,8.87,4.4,0.3,61.43,18.76,108.7,-4.18,1.78
23.95,27.03,8.5,4.14,0.3,62.47,18.75,108.84,-4.93,1.54
24.38,27.27,8.26,4.15,0.29,62.72,18.75,108.98,-3.81,0.98
23.43,26.22,8.41,4.21,0.29,63.66,18.75,109.12,-3.45,0.06
26.24,29.49,8.83,4.68,0.29,60.84,18.74,109.26,-4.87,0.48
28.56,32.01,9.48,5.27,0.3,60.55,18.73,109.4,-6.46,2.27
29.6,33.06,9.87,5.91,0.3,60.65,18.73,109.54,-6.11,2.03
29.87,33.29,10.52,6.25,0.3,62.27,18.72,109.68,-4.99,0.25
31.74,35.58,11.03,6.9,0.31,60.56,18.72,109.82,-4.56,-0.65
33.41,38.61,11.3,8.07,0.32,56.39,18.71,109.96,-4.33,-0.74
32.41,37.98,11.88,8.89,0.32,55.77,18.7,110.1,-4.65,-0.74
32.28,38.2,12.48,9.88,0.33,55.33,18.7,110.24,-5.41,-0.84
30.2,37.26,11.79,9.07,0.33,61.23,18.69,110.38,-5.98,-1.05
22.62,25.95,9.75,4.95,0.31,60.52,18.89,108.71,-1.37,-0.11
23.28,26.57,9.31,4.55,0.3,61.2,18.89,108.85,-3.24,1.97
24.85,28.17,8.99,4.59,0.3,60.1,18.88,108.99,-4.61,2.51
27.36,30.71,8.77,4.6,0.29,59.49,18.88,109.13,-4.32,1.35
29.38,33.09,9.37,5.05,0.3,59.88,18.87,109.27,-3.43,0.92
30.56,34.59,9.94,5.64,0.3,59.43,18.87,109.41,-4.23,1.85
32.68,36.8,10.5,6.22,0.3,59.64,18.86,109.55,-5.37,2.26
35.49,40.05,10.74,6.78,0.31,58.79,18.86,109.69,-5.03,1.6
36.87,42.45,10.93,7.95,0.31,55.23,18.85,109.83,-4.31,1.03
36.79,42.98,11.4,9.26,0.32,53.55,18.84,109.97,-4.19,0.36
36.45,43.1,11.92,10.44,0.33,52.83,18.84,110.11,-4.63,-0.08
37.62,44.74,12.86,12.5,0.34,51.52,18.83,110.25,-5.13,-0.3
35,41.75,12.91,12.45,0.34,51.57,18.82,110.39,-5.68,-0.59
22.91,26.29,10.76,5.66,0.31,61.16,19.02,108.71,0.19,-1.19
23.24,26.48,10.49,5.25,0.31,62.12,19.02,108.85,-0.92,0.42
25.36,28.73,10.1,5.25,0.31,59.85,19.01,108.99,-3.18,2.41
29.57,33.02,10.16,5.3,0.3,59.75,19.01,109.13,-4.03,2.41
